symbol,price,price_date,name,type
1144781,14,2026-07-23,ג'י.פי גלובל-ש,מניה רגילה
1145564,1.1917,2026-07-23,נמלי ישראל אגחא,"אג""ח קונצרני"
1145572,1.19,2026-07-23,נמלי ישראל אגחב,"אג""ח קונצרני"
1147479,0.8792,2026-07-23,תומר אנרגיהאגחא,"אג""ח קונצרני"
1147487,104.9,2026-07-23,גלוברנדס,מניה רגילה
1147503,1.2301,2026-07-23,נתיבי גז אגח ד,"אג""ח קונצרני"
1147602,1.1926,2026-07-23,מגה אור אגח ח,"אג""ח קונצרני"
1147685,15.43,2026-07-23,כרמל קורפ,מניה רגילה
1147750,0.396,2026-07-23,רותם אנרגיה יהש,יחידת השתתפות
1150879,0.9922,2026-07-23,ממשל שקלית 0928,"אג""ח ממשלתי שחר"
1150903,1.2,2026-07-23,ויתניה אגח ה,"אג""ח קונצרני"
1151117,1.1962,2026-07-23,ביג אגח יא,"אג""ח קונצרני"
1155290,32.67,2026-07-23,אנרג'יאן,מניה רגילה
1155522,1.0121,2026-07-23,פניקס הון אגח ט,"אג""ח קונצרני"
1155928,1.1984,2026-07-23,מניבים ריט אגחב,"אג""ח קונצרני"
1155951,0.7875,2026-07-23,שמוס אגח א,"אג""ח מרובה פדיונות"
1156025,1.041,2026-07-23,הכש חב בטוחאגח4,"אג""ח קונצרני"
1156041,1.0228,2026-07-23,מגדל הון אגח ז,"אג""ח קונצרני"
1156231,1.2232,2026-07-23,ביג אגח יב,"אג""ח קונצרני"
1156280,11.5,2026-07-23,ג'י וואן,מניה רגילה
1156397,1.0037,2026-07-23,פרטנר אגח ז,"אג""ח קונצרני"
1156603,1.1936,2026-07-23,עזריאלי אגח ה,"אג""ח קונצרני"
1156611,1.201,2026-07-23,עזריאלי אגח ו,"אג""ח קונצרני"
1156926,2.84,2026-07-23,ג'נריישן קפיטל,מניה רגילה
1157023,1.1608,2026-07-23,ממשל צמודה 0529,"אג""ח ממשלתי גליל"
1157114,4.836,2026-07-23,יוטרון,מניה רגילה
1157403,10.99,2026-07-23,ישראכרט,מניה רגילה
